disease,symptoms
Allergy,"Kitchen safety"
Allergy,"Social situations challenging"
Allergy,"Eating out anxiety"
Allergy,"Birthday parties difficult"
Allergy,"School events concerning"
Allergy,"Work functions stressful"
Allergy,"Family gatherings careful"
Allergy,"Holiday meals planning"
Allergy,"Cultural food issues"
Allergy,"Religious observance adjustments"
Allergy,"Sports participation concerns"
Allergy,"Exercise-induced reactions"
Allergy,"Weather influences"
Allergy,"Seasonal variations"
Allergy,"Climate change effects"
Allergy,"Pollution interaction"
Allergy,"Indoor air quality"
Allergy,"Outdoor exposure"
Allergy,"Pollen counts monitoring"
Allergy,"Mold spore levels"
Allergy,"Dust control measures"
Allergy,"Pet management strategies"
Allergy,"Home environment modifications"
Allergy,"Workplace accommodations"
Allergy,"School environment changes"
Allergy,"Vehicle considerations"
Allergy,"Hotel stays planning"
Allergy,"Air travel preparation"
Allergy,"Emergency room visits"
Allergy,"Hospitalization sometimes"
Allergy,"Specialist care needed"
Allergy,"Primary care coordination"
Allergy,"Team approach beneficial"
Allergy,"Patient education crucial"
Allergy,"Family education important"
Allergy,"School staff training"
Allergy,"Workplace awareness"
Allergy,"Community education"
Allergy,"Support groups helpful"
Allergy,"Online resources available"
Allergy,"Mobile apps useful"
Allergy,"Research ongoing"
Allergy,"New treatments developing"
Allergy,"Diagnostic advances"
Allergy,"Prevention strategies"
Allergy,"Early introduction research"
Allergy,"Microbiome studies"
Allergy,"Genetic factors"
Allergy,"Environmental factors"
Allergy,"Lifestyle influences"
Allergy,"Diet considerations"
Allergy,"Stress management"
Allergy,"Sleep quality"
Allergy,"Exercise benefits"
Allergy,"Mental health connection"
Allergy,"Quality of life impact"
Allergy,"Economic burden"
Allergy,"Healthcare costs"
Allergy,"Productivity loss"
Allergy,"School absence"
Allergy,"Work missed"
Allergy,"Social limitations"
Allergy,"Psychological impact"
Allergy,"Coping strategies"
Depression,"Feeling sad most of the day"
Depression,"Little interest in enjoyable activities"
Depression,"Sleep disturbed too much or too little"
Depression,"Feeling fatigued even after rest"
Depression,"Difficulty concentrating properly"
Depression,"Feeling hopeless about the future"
Depression,"Appetite changes either loss or overeating"
Depression,"Social interactions very challenging"
Depression,"Thoughts of self-harm occasionally"
Depression,"Feeling worthless and guilty frequently"
Depression,"Psychomotor agitation or retardation"
Depression,"Previous episodes of depression"
Depression,"Family history of depression"
Depression,"Seasonal pattern noticeable"
Depression,"Postpartum depression after childbirth"
Depression,"Grief complicated by depression"
Depression,"Medical illness contributes"
Depression,"Medication induced depression"
Depression,"Substance abuse coexists"
Depression,"Anxiety symptoms present"
Depression,"Irritability common"
Depression,"Anger outbursts sometimes"
Depression,"Crying spells frequent"
Depression,"Emotional numbness"
Depression,"Empty feeling inside"
Depression,"Loss of pleasure"
Depression,"Social withdrawal"
Depression,"Isolation increasing"
Depression,"Work performance decreased"
Depression,"School problems developing"
Depression,"Relationship difficulties"
Depression,"Family conflict"
Depression,"Financial stress"
Depression,"Legal problems possible"
Depression,"Health neglect"
Depression,"Self-care poor"
Depression,"Hygiene declining"
Depression,"Appearance deteriorating"
Depression,"Weight changes significant"
Depression,"Energy level low"
Depression,"Motivation lacking"
Depression,"Decision making impaired"
Depression,"Memory problems"
Depression,"Attention difficulties"
Depression,"Processing speed slow"
Depression,"Executive function impaired"
Depression,"Physical symptoms common"
Depression,"Headaches frequent"
Depression,"Digestive problems"
Depression,"Pain complaints"
Depression,"Sexual dysfunction"
Depression,"Sleep architecture disturbed"
Depression,"Dreams disturbing"
Depression,"Nightmares sometimes"
Depression,"Feeling like moving through mud physically"
Depression,"Loss of interest in personal hygiene"
Depression,"Feeling detached from own body or emotions"
Depression,"Early awakening"
Depression,"Difficulty falling asleep"
Depression,"Excessive sleeping"
Depression,"Daytime sleepiness"
Depression,"Circadian rhythm disrupted"
Depression,"Seasonal variations"
Depression,"Weather influences"
Depression,"Light sensitivity"
Depression,"Sound sensitivity"
Depression,"Smell sensitivity"
Depression,"Touch sensitivity"
Depression,"Pain sensitivity increased"
Depression,"Stress intolerance"
Depression,"Coping impaired"
Depression,"Problem solving difficult"
Depression,"Adaptation poor"
Depression,"Resilience decreased"
Depression,"Vulnerability increased"
Depression,"Self-esteem low"
Depression,"Self-confidence lacking"
Depression,"Self-criticism high"
Depression,"Perfectionism sometimes"
Depression,"Rumination common"
Depression,"Worry excessive"
Depression,"Fearfulness increased"
Depression,"Anxiety comorbid"
Depression,"Panic attacks possible"
Depression,"Phobias sometimes"
Depression,"OCD symptoms"
Depression,"PTSD possible"
Depression,"Personality disorders"
Depression,"Eating disorders"
Depression,"Substance disorders"
Depression,"Medical comorbidities"
Depression,"Treatment needed"
Depression,"Therapy beneficial"
Depression,"Medication helpful"
Depression,"Hospitalization sometimes"
Depression,"ECT consideration"
Depression,"TMS option"
Depression,"Ketamine emerging"
Depression,"Support crucial"
Depression,"Recovery possible"
Heart Attack,"Severe chest pain occurs suddenly"
Heart Attack,"Pain radiates to left arm and jaw"
Heart Attack,"Shortness of breath accompanies pain"
Heart Attack,"Feeling nausea and cold sweating"
Heart Attack,"Lightheadedness occurs suddenly"
Heart Attack,"Rapid heartbeat or palpitations present"
Heart Attack,"Pain lasts more than few minutes"
Heart Attack,"Symptoms worsen with physical activity"
Heart Attack,"Anxiety and fear appear during pain"
Heart Attack,"Feeling pressure or tightness in chest"
Heart Attack,"Indigestion-like symptoms"
Heart Attack,"Upper back pain present"
Heart Attack,"Extreme fatigue preceding"
Heart Attack,"Sleep disturbances before"
Heart Attack,"Family history of heart disease"
Heart Attack,"Previous heart conditions"
Heart Attack,"Risk factors present"
Heart Attack,"Emergency treatment needed"
Heart Attack,"Hospital admission required"
Heart Attack,"Pain that feels like elephant sitting on chest"
Heart Attack,"Discomfort between shoulder blades"
Heart Attack,"Unexplained anxiety or sense of doom"
Heart Attack,"Flu-like symptoms without fever"
Heart Attack,"Jaw pain on left side specifically"
Heart Attack,"Upper abdominal discomfort mistaken for indigestion"
Heart Attack,"Sudden overwhelming fatigue days before"
Heart Attack,"Cardiac enzymes elevated"
Heart Attack,"ECG changes evident"
Heart Attack,"Angioplasty possible"
Heart Attack,"Stent placement"
Heart Attack,"Bypass surgery sometimes"
Heart Attack,"Rehabilitation important"
Heart Attack,"Lifestyle changes necessary"
Heart Attack,"Medication long-term"
Heart Attack,"Monitoring ongoing"
Heart Attack,"Follow-up essential"
Heart Attack,"Secondary prevention"
Heart Attack,"Quality of life impact"
Heart Attack,"Return to work"
Heart Attack,"Activity modifications"
Heart Attack,"Exercise prescription"
Heart Attack,"Diet changes"
Heart Attack,"Weight management"
Heart Attack,"Blood pressure control"
Heart Attack,"Cholesterol management"
Heart Attack,"Diabetes control"
Heart Attack,"Smoking cessation"
Heart Attack,"Stress reduction"
Heart Attack,"Sleep improvement"
Heart Attack,"Alcohol moderation"
Heart Attack,"Driving restrictions"
Heart Attack,"Travel considerations"
Heart Attack,"Sexual activity guidance"
Heart Attack,"Workplace adjustments"
Heart Attack,"Disability possible"
Heart Attack,"Life expectancy affected"
Heart Attack,"Family impact significant"
Heart Attack,"Caregiver burden"
Heart Attack,"Financial concerns"
Heart Attack,"Insurance issues"
Heart Attack,"Medical costs"
Heart Attack,"Treatment adherence"
Heart Attack,"Symptom monitoring"
Heart Attack,"Emergency plan"
Heart Attack,"Support system"
Heart Attack,"Education important"
Heart Attack,"Self-management"
Heart Attack,"Technology aids"
Heart Attack,"Mobile health"
Heart Attack,"Remote monitoring"
Heart Attack,"Telemedicine options"
Heart Attack,"Research advances"
Heart Attack,"New treatments"
Heart Attack,"Stem cell research"
Heart Attack,"Regenerative medicine"
Heart Attack,"Prevention emphasis"
Heart Attack,"Screening important"
Heart Attack,"Early detection"
Heart Attack,"Risk assessment"
Heart Attack,"Genetic testing"
Heart Attack,"Biomarker research"
Heart Attack,"Imaging advances"
Heart Attack,"Interventional cardiology"
Heart Attack,"Surgical techniques"
Heart Attack,"Rehabilitation programs"
Heart Attack,"Psychological support"
Heart Attack,"Mental health care"
Heart Attack,"Depression common"
Heart Attack,"Anxiety frequent"
Heart Attack,"PTSD possible"
Heart Attack,"Quality of life"
Heart Attack,"Life satisfaction"
Heart Attack,"Purpose finding"
Heart Attack,"Meaning making"
Heart Attack,"Adaptation process"
Heart Attack,"Recovery journey"
Heart Attack,"Hope maintenance"
Heart Attack,"Coping strategies"
Heart Attack,"Resilience building"
Heart Attack,"Strength development"
Stroke,"Sudden numbness on one side of body"
Stroke,"Difficulty speaking or understanding speech"
Stroke,"Vision problems in one or both eyes"
Stroke,"Severe headache appears without known cause"
Stroke,"Loss of balance or coordination occurs"
Stroke,"Confusion and disorientation present"
Stroke,"Difficulty swallowing occurs suddenly"
Stroke,"Symptoms appear suddenly and worsen quickly"
Stroke,"Face drooping on one side noticeable"
Stroke,"Weakness in arm or leg on one side"
Stroke,"Ischemic stroke more common"
Stroke,"Hemorrhagic stroke severe"
Stroke,"Transient ischemic attack warning"
Stroke,"Risk factors identified"
Stroke,"Rehabilitation needed"
Stroke,"Speech therapy required"
Stroke,"Physical therapy ongoing"
Stroke,"Occupational therapy helps"
Stroke,"Hospitalization necessary"
Stroke,"ICU care sometimes"
Stroke,"Surgery possible"
Stroke,"Medication important"
Stroke,"Recovery variable"
Stroke,"Outcome unpredictable"
Stroke,"Disability possible"
Stroke,"Long-term care needed"
Stroke,"Home modifications"
Stroke,"Mobility aids"
Stroke,"Communication devices"
Stroke,"Swallowing precautions"
Stroke,"Nutrition considerations"
Stroke,"Hydration management"
Stroke,"Skin care important"
Stroke,"Bowel and bladder"
Stroke,"Sexual function affected"
Stroke,"Cognitive changes"
Stroke,"Memory problems"
Stroke,"Attention deficits"
Stroke,"Executive dysfunction"
Stroke,"Emotional lability"
Stroke,"Depression common"
Stroke,"Anxiety frequent"
Stroke,"Anger sometimes"
Stroke,"Frustration common"
Stroke,"Social withdrawal"
Stroke,"Relationship strain"
Stroke,"Family burden"
Stroke,"Caregiver stress"
Stroke,"Financial impact"
Stroke,"Employment issues"
Stroke,"Insurance challenges"
Stroke,"Transportation needs"
Stroke,"Home care services"
Stroke,"Nursing home possible"
Stroke,"Quality of life"
Stroke,"Life satisfaction"
Stroke,"Purpose finding"
Stroke,"Meaning making"
Stroke,"Adaptation process"
Stroke,"Recovery journey"
Stroke,"Hope maintenance"
Stroke,"Coping strategies"
Stroke,"Resilience building"
Stroke,"Strength development"
Stroke,"Community support"
Stroke,"Peer support"
Stroke,"Professional support"
Stroke,"Technology aids"
Stroke,"Adaptive equipment"
Stroke,"Home modifications"
Stroke,"Vehicle adaptations"
Stroke,"Workplace accommodations"
Stroke,"School reintegration"
Stroke,"Social participation"
Stroke,"Recreational activities"
Stroke,"Exercise programs"
Stroke,"Therapy continuation"
Stroke,"Monitoring ongoing"
Stroke,"Follow-up essential"
Stroke,"Prevention crucial"
Stroke,"Medication adherence"
Stroke,"Sudden trouble walking or dizziness"
Stroke,"Trouble understanding what others are saying"
Stroke,"Double vision or vision loss in one eye"
Stroke,"Sudden severe headache with vomiting"
Stroke,"Brief loss of consciousness or fainting"
Stroke,"Lifestyle modifications"
Stroke,"Risk factor control"
Stroke,"Blood pressure management"
Stroke,"Cholesterol control"
Stroke,"Diabetes management"
Stroke,"Smoking cessation"
Stroke,"Alcohol moderation"
Stroke,"Weight management"
Stroke,"Exercise regular"
Stroke,"Diet healthy"
Stroke,"Stress reduction"
Stroke,"Sleep quality"
Stroke,"Regular check-ups"
Stroke,"Emergency plan"
Kidney Stones,"Severe pain in back and lower abdomen"
Kidney Stones,"Pain comes in waves and fluctuates"
Kidney Stones,"Fever and chills appear with infection"
Kidney Stones,"Difficulty passing urine occasionally"
Kidney Stones,"Urine may appear pink red or brown"
Kidney Stones,"Nausea and vomiting accompany pain"
Kidney Stones,"Pain radiates to groin area"
Kidney Stones,"Urinary urgency occurs frequently"
Kidney Stones,"Sweating and restlessness with pain"
Kidney Stones,"Blood visible in the urine"
Kidney Stones,"Stone composition varies"
Kidney Stones,"Recurrent stones common"
Kidney Stones,"Dehydration contributes"
Kidney Stones,"Dietary factors involved"
Kidney Stones,"Family history present"
Kidney Stones,"Medical conditions predispose"
Kidney Stones,"Medications can cause"
Kidney Stones,"Imaging confirms diagnosis"
Kidney Stones,"Treatment depends on size"
Kidney Stones,"Passage spontaneous possible"
Kidney Stones,"Pain management important"
Kidney Stones,"Hydration crucial"
Kidney Stones,"Medical expulsive therapy"
Kidney Stones,"Urology consultation"
Kidney Stones,"Surgical options"
Kidney Stones,"Lithotripsy possible"
Kidney Stones,"Ureteroscopy sometimes"
Kidney Stones,"Percutaneous nephrolithotomy"
Kidney Stones,"Stent placement possible"
Kidney Stones,"Hospitalization sometimes"
Kidney Stones,"Recovery variable"
Kidney Stones,"Activity restrictions"
Kidney Stones,"Work absence possible"
Kidney Stones,"Pain medications needed"
Kidney Stones,"Antibiotics if infected"
Kidney Stones,"Follow-up important"
Kidney Stones,"Stone analysis"
Kidney Stones,"Metabolic evaluation"
Kidney Stones,"Prevention strategies"
Kidney Stones,"Diet modifications"
Kidney Stones,"Fluid intake increase"
Kidney Stones,"Salt reduction"
Kidney Stones,"Constant need to urinate with little output"
Kidney Stones,"Cloudy or foul-smelling urine"
Kidney Stones,"Shivering and fever if infection present"
Kidney Stones,"Pain that moves as stone travels"
Kidney Stones,"Inability to find comfortable position due to pain"
Kidney Stones,"Visible stone particles in urine after passing"
Kidney Stones,"Animal protein moderate"
Kidney Stones,"Oxalate awareness"
Kidney Stones,"Calcium appropriate"
Kidney Stones,"Citrate supplementation"
Kidney Stones,"Medication prevention"
Kidney Stones,"Monitoring regular"
Kidney Stones,"Imaging follow-up"
Kidney Stones,"Urine tests"
Kidney Stones,"Blood tests"
Kidney Stones,"Risk assessment"
Kidney Stones,"Recurrence prevention"
Kidney Stones,"Quality of life impact"
Kidney Stones,"Pain episodes disruptive"
Kidney Stones,"Work productivity affected"
Kidney Stones,"Social activities limited"
Kidney Stones,"Exercise interrupted"
Kidney Stones,"Travel concerns"
Kidney Stones,"Emergency preparedness"
Kidney Stones,"Insurance considerations"
Kidney Stones,"Cost of care"
Kidney Stones,"Treatment decisions"
Kidney Stones,"Second opinions"
Kidney Stones,"Research participation"
Kidney Stones,"New treatments"
Kidney Stones,"Technology advances"
Kidney Stones,"Minimally invasive options"
Kidney Stones,"Robotic surgery"
Kidney Stones,"Laser technology"
Kidney Stones,"Imaging improvements"
Kidney Stones,"Diagnostic accuracy"
Kidney Stones,"Prevention emphasis"
Kidney Stones,"Public education"
Kidney Stones,"Awareness raising"
Kidney Stones,"Support groups"
Kidney Stones,"Online resources"
Kidney Stones,"Mobile apps"
Kidney Stones,"Self-management"
Kidney Stones,"Symptom tracking"
Kidney Stones,"Fluid monitoring"
Kidney Stones,"Diet tracking"
Kidney Stones,"Medication adherence"
Kidney Stones,"Appointment keeping"
Kidney Stones,"Communication important"
Kidney Stones,"Team approach"
Kidney Stones,"Primary care"
Kidney Stones,"Urology care"
Kidney Stones,"Nutritionist input"
Kidney Stones,"Pharmacy support"
Kidney Stones,"Emergency care"
Kidney Stones,"Hospital care"
Kidney Stones,"Home care"
Kidney Stones,"Recovery support"
General Physician,"Cold hands and feet frequently"
General Physician,"Irregular menstrual cycles"
General Physician,"Feeling faint when standing up quickly"
General Physician,"Occasional headaches"
General Physician,"Feeling tired most of the time"
General Physician,"Sleep pattern disturbed"
General Physician,"Mild fever and body ache"
General Physician,"Feeling generally unwell today"
General Physician,"Low energy levels"
General Physician,"Occasional dizziness"
General Physician,"Annual checkup needed"
General Physician,"Routine blood tests"
General Physician,"Vaccinations current"
General Physician,"Preventive care important"
General Physician,"Health maintenance focus"
General Physician,"Screening tests due"
General Physician,"Medication review"
General Physician,"Lifestyle counseling"
General Physician,"Referral to specialist"
General Physician,"Follow-up appointment"
General Physician,"Health education provided"
General Physician,"Risk assessment done"
General Physician,"Weight management discussion"
General Physician,"Exercise recommendations"
General Physician,"Nutrition advice"
General Physician,"Stress management tips"
General Physician,"Sleep hygiene advice"
General Physician,"Alcohol consumption review"
General Physician,"Smoking status assessment"
General Physician,"Substance use screening"
General Physician,"Mental health screening"
General Physician,"Depression assessment"
General Physician,"Anxiety evaluation"
General Physician,"Cognitive screening"
General Physician,"Memory concerns"
General Physician,"Vision changes"
General Physician,"Hearing changes"
General Physician,"Dental health"
General Physician,"Skin examination"
General Physician,"Mole checking"
General Physician,"Breast examination"
General Physician,"Testicular examination"
General Physician,"Pelvic examination"
General Physician,"Prostate screening"
General Physician,"Bone density discussion"
General Physician,"Arthritis screening"
General Physician,"Diabetes screening"
General Physician,"Hypertension screening"
General Physician,"Cholesterol check"
General Physician,"Heart disease risk"
General Physician,"Stroke risk assessment"
General Physician,"Cancer screening appropriate"
General Physician,"Colonoscopy discussion"
General Physician,"Mammogram recommendation"
General Physician,"Pap smear current"
General Physician,"HPV vaccination"
General Physician,"Pneumococcal vaccine"
General Physician,"Influenza vaccine"
General Physician,"COVID-19 vaccine"
General Physician,"Travel vaccinations"
General Physician,"Occupational health"
General Physician,"Workplace safety"
General Physician,"Environmental concerns"
General Physician,"Allergy testing"
General Physician,"Immunization records"
General Physician,"Family history update"
General Physician,"Genetic counseling"
General Physician,"Advance directives"
General Physician,"Living will discussion"
General Physician,"Power of attorney"
General Physician,"Palliative care"
General Physician,"Hospice information"
General Physician,"Geriatric assessment"
General Physician,"Pediatric wellness"
General Physician,"Adolescent health"
General Physician,"Women's health"
General Physician,"Men's health"
General Physician,"LGBTQ health"
General Physician,"Cultural competence"
General Physician,"Language services"
General Physician,"Health literacy"
General Physician,"Patient education"
General Physician,"Self-management support"
General Physician,"Community resources"
General Physician,"Social services"
General Physician,"Mental health resources"
General Physician,"Substance treatment"
General Physician,"Nutrition programs"
General Physician,"Exercise facilities"
General Physician,"Support groups"
General Physician,"Online health resources"
General Physician,"Mobile health apps"
General Physician,"Telemedicine options"
General Physician,"After-hours care"
General Physician,"Urgent care locations"
General Physician,"Emergency department"
General Physician,"Hospital information"
General Physician,"Specialist network"
General Physician,"Insurance navigation"
General Physician,"Prescription assistance"
